0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:30 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:38 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:38 +0700] "GET /LinhWine/ HTTP/1.1" 200 147511
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:38 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:38 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:56 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39495
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:56 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:56 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:58 +0700] "GET /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39687
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:58 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:58 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:15:00:07 +0700] "POST /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39489
